slug,repo,worm_file,ts,mode,seed,population,generations,jitter,delta_linf,caos_ratio,sr,G,ece,rho_bias,fp,nov_last,nov_global,score,hash,gate_pass
danielgonzagat-AntColonyOptimization,https://github.com/danielgonzagat/AntColonyOptimization,fusion_danielgonzagat-AntColonyOptimization_20251001_143045_845136.json,2025-10-01 14:30:45,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AppAgent,https://github.com/danielgonzagat/AppAgent,fusion_danielgonzagat-AppAgent_20251001_142322_402841.json,2025-10-01 14:23:22,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Auto-PyTorch,https://github.com/danielgonzagat/Auto-PyTorch,fusion_danielgonzagat-Auto-PyTorch_20251001_142703_623955.json,2025-10-01 14:27:03,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Auto-Tutor,https://github.com/danielgonzagat/Auto-Tutor,fusion_danielgonzagat-Auto-Tutor_20251001_140142_102447.json,2025-10-01 14:01:42,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoAgent,https://github.com/danielgonzagat/AutoAgent,fusion_danielgonzagat-AutoAgent_20251001_141746_66254.json,2025-10-01 14:17:46,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoDL-Projects,https://github.com/danielgonzagat/AutoDL-Projects,fusion_danielgonzagat-AutoDL-Projects_20251001_143009_809681.json,2025-10-01 14:30:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoGL,https://github.com/danielgonzagat/AutoGL,fusion_danielgonzagat-AutoGL_20251001_142546_546673.json,2025-10-01 14:25:46,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoGPT0,https://github.com/danielgonzagat/AutoGPT0,fusion_danielgonzagat-AutoGPT0_20251001_135441_681067.json,2025-10-01 13:54:41,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoML-Implementation-for-Static-and-Dynamic-Data-Analytics,https://github.com/danielgonzagat/AutoML-Implementation-for-Static-and-Dynamic-Data-Analytics,fusion_danielgonzagat-AutoML-Implementation-for-Static-and-Dynamic-Data-Analytics_20251001_142639_599680.json,2025-10-01 14:26:39,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoRAG,https://github.com/danielgonzagat/AutoRAG,fusion_danielgonzagat-AutoRAG_20251001_141746_66256.json,2025-10-01 14:17:46,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AutoViz,https://github.com/danielgonzagat/AutoViz,fusion_danielgonzagat-AutoViz_20251001_142628_588958.json,2025-10-01 14:26:28,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Auto_ViML,https://github.com/danielgonzagat/Auto_ViML,fusion_danielgonzagat-Auto_ViML_20251001_142343_423177.json,2025-10-01 14:23:43,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Autono,https://github.com/danielgonzagat/Autono,fusion_danielgonzagat-Autono_20251001_141855_135784.json,2025-10-01 14:18:55,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Autonomous-Agents,https://github.com/danielgonzagat/Autonomous-Agents,fusion_danielgonzagat-Autonomous-Agents_20251001_141041_641777.json,2025-10-01 14:10:41,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-3D-Generation,https://github.com/danielgonzagat/Awesome-3D-Generation,fusion_danielgonzagat-Awesome-3D-Generation_20251001_140432_272734.json,2025-10-01 14:04:32,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AGI-Agents,https://github.com/danielgonzagat/Awesome-AGI-Agents,fusion_danielgonzagat-Awesome-AGI-Agents_20251001_142759_679670.json,2025-10-01 14:27:59,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AGI,https://github.com/danielgonzagat/Awesome-AGI,fusion_danielgonzagat-Awesome-AGI_20251001_142811_691897.json,2025-10-01 14:28:11,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AI-Agents0,https://github.com/danielgonzagat/Awesome-AI-Agents0,fusion_danielgonzagat-Awesome-AI-Agents0_20251001_141950_190503.json,2025-10-01 14:19:50,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AI-Agents,https://github.com/danielgonzagat/Awesome-AI-Agents,fusion_danielgonzagat-Awesome-AI-Agents_20251001_142309_389207.json,2025-10-01 14:23:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AI-GPTs,https://github.com/danielgonzagat/Awesome-AI-GPTs,fusion_danielgonzagat-Awesome-AI-GPTs_20251001_142615_575009.json,2025-10-01 14:26:15,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AutoDL,https://github.com/danielgonzagat/Awesome-AutoDL,fusion_danielgonzagat-Awesome-AutoDL_20251001_142956_796584.json,2025-10-01 14:29:56,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-AutoML-and-Lightweight-Models,https://github.com/danielgonzagat/Awesome-AutoML-and-Lightweight-Models,fusion_danielgonzagat-Awesome-AutoML-and-Lightweight-Models_20251001_143034_834020.json,2025-10-01 14:30:34,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Context-Engineering,https://github.com/danielgonzagat/Awesome-Context-Engineering,fusion_danielgonzagat-Awesome-Context-Engineering_20251001_142029_229172.json,2025-10-01 14:20:29,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Diffusion-Distillation,https://github.com/danielgonzagat/Awesome-Diffusion-Distillation,fusion_danielgonzagat-Awesome-Diffusion-Distillation_20251001_142748_668656.json,2025-10-01 14:27:48,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-EdgeAI,https://github.com/danielgonzagat/Awesome-EdgeAI,fusion_danielgonzagat-Awesome-EdgeAI_20251001_142409_449509.json,2025-10-01 14:24:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Federated-Learning,https://github.com/danielgonzagat/Awesome-Federated-Learning,fusion_danielgonzagat-Awesome-Federated-Learning_20251001_142958_798880.json,2025-10-01 14:29:58,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Forgetting-in-Deep-Learning,https://github.com/danielgonzagat/Awesome-Forgetting-in-Deep-Learning,fusion_danielgonzagat-Awesome-Forgetting-in-Deep-Learning_20251001_140013_13592.json,2025-10-01 14:00:13,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Generation-Acceleration,https://github.com/danielgonzagat/Awesome-Generation-Acceleration,fusion_danielgonzagat-Awesome-Generation-Acceleration_20251001_142136_296736.json,2025-10-01 14:21:36,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-LLM-Papers-Comprehensive-Topics,https://github.com/danielgonzagat/Awesome-LLM-Papers-Comprehensive-Topics,fusion_danielgonzagat-Awesome-LLM-Papers-Comprehensive-Topics_20251001_142533_533206.json,2025-10-01 14:25:33,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Model-Merging-Methods-Theories-Applications,https://github.com/danielgonzagat/Awesome-Model-Merging-Methods-Theories-Applications,fusion_danielgonzagat-Awesome-Model-Merging-Methods-Theories-Applications_20251001_135441_681068.json,2025-10-01 13:54:41,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Model-Quantization,https://github.com/danielgonzagat/Awesome-Model-Quantization,fusion_danielgonzagat-Awesome-Model-Quantization_20251001_142331_411410.json,2025-10-01 14:23:31,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Multimodal-Token-Compression,https://github.com/danielgonzagat/Awesome-Multimodal-Token-Compression,fusion_danielgonzagat-Awesome-Multimodal-Token-Compression_20251001_140925_565036.json,2025-10-01 14:09:25,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Neural-CAD,https://github.com/danielgonzagat/Awesome-Neural-CAD,fusion_danielgonzagat-Awesome-Neural-CAD_20251001_141315_795092.json,2025-10-01 14:13:15,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Open-Sora,https://github.com/danielgonzagat/Awesome-Open-Sora,fusion_danielgonzagat-Awesome-Open-Sora_20251001_142703_623953.json,2025-10-01 14:27:03,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Pruning,https://github.com/danielgonzagat/Awesome-Pruning,fusion_danielgonzagat-Awesome-Pruning_20251001_142711_631428.json,2025-10-01 14:27:11,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-SuperAGI,https://github.com/danielgonzagat/Awesome-SuperAGI,fusion_danielgonzagat-Awesome-SuperAGI_20251001_142819_699592.json,2025-10-01 14:28:19,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome-Token-level-Model-Compression,https://github.com/danielgonzagat/Awesome-Token-level-Model-Compression,fusion_danielgonzagat-Awesome-Token-level-Model-Compression_20251001_141659_19597.json,2025-10-01 14:16:59,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Awesome_Few_Shot_Learning,https://github.com/danielgonzagat/Awesome_Few_Shot_Learning,fusion_danielgonzagat-Awesome_Few_Shot_Learning_20251001_142936_776514.json,2025-10-01 14:29:36,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-BPFL,https://github.com/danielgonzagat/BPFL,fusion_danielgonzagat-BPFL_20251001_141907_147735.json,2025-10-01 14:19:07,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Bayesian-Deep-Learning-for-Commodity-Price-Forecasting,https://github.com/danielgonzagat/Bayesian-Deep-Learning-for-Commodity-Price-Forecasting,fusion_danielgonzagat-Bayesian-Deep-Learning-for-Commodity-Price-Forecasting_20251001_141454_894006.json,2025-10-01 14:14:54,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-BenevolentByDesign,https://github.com/danielgonzagat/BenevolentByDesign,fusion_danielgonzagat-BenevolentByDesign_20251001_143010_810380.json,2025-10-01 14:30:10,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-BentoML,https://github.com/danielgonzagat/BentoML,fusion_danielgonzagat-BentoML_20251001_141406_846814.json,2025-10-01 14:14:06,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-BioPy,https://github.com/danielgonzagat/BioPy,fusion_danielgonzagat-BioPy_20251001_142852_732777.json,2025-10-01 14:28:52,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Brainstorm-science,https://github.com/danielgonzagat/Brainstorm-science,fusion_danielgonzagat-Brainstorm-science_20251001_142443_483063.json,2025-10-01 14:24:43,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CMSIS_NN-INTQ,https://github.com/danielgonzagat/CMSIS_NN-INTQ,fusion_danielgonzagat-CMSIS_NN-INTQ_20251001_143110_870219.json,2025-10-01 14:31:10,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CNN_compression_rank_selection_BayesOpt,https://github.com/danielgonzagat/CNN_compression_rank_selection_BayesOpt,fusion_danielgonzagat-CNN_compression_rank_selection_BayesOpt_20251001_143039_839264.json,2025-10-01 14:30:39,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CNTK,https://github.com/danielgonzagat/CNTK,fusion_danielgonzagat-CNTK_20251001_142926_766746.json,2025-10-01 14:29:26,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CORE,https://github.com/danielgonzagat/CORE,fusion_danielgonzagat-CORE_20251001_141840_120631.json,2025-10-01 14:18:40,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CU-Net,https://github.com/danielgonzagat/CU-Net,fusion_danielgonzagat-CU-Net_20251001_143022_822115.json,2025-10-01 14:30:22,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CUPCAKEAGI,https://github.com/danielgonzagat/CUPCAKEAGI,fusion_danielgonzagat-CUPCAKEAGI_20251001_142914_754110.json,2025-10-01 14:29:14,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CVPR2025-Papers-with-Code,https://github.com/danielgonzagat/CVPR2025-Papers-with-Code,fusion_danielgonzagat-CVPR2025-Papers-with-Code_20251001_142136_296941.json,2025-10-01 14:21:36,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Caffe_IncReg,https://github.com/danielgonzagat/Caffe_IncReg,fusion_danielgonzagat-Caffe_IncReg_20251001_143109_869844.json,2025-10-01 14:31:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Catalyst-NEWBORN,https://github.com/danielgonzagat/Catalyst-NEWBORN,fusion_danielgonzagat-Catalyst-NEWBORN_20251001_141406_846815.json,2025-10-01 14:14:06,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ChatALL,https://github.com/danielgonzagat/ChatALL,fusion_danielgonzagat-ChatALL_20251001_141633_993062.json,2025-10-01 14:16:33,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CoDe,https://github.com/danielgonzagat/CoDe,fusion_danielgonzagat-CoDe_20251001_142318_398332.json,2025-10-01 14:23:18,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CogGPT,https://github.com/danielgonzagat/CogGPT,fusion_danielgonzagat-CogGPT_20251001_142509_509816.json,2025-10-01 14:25:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-CognitiveDistillation,https://github.com/danielgonzagat/CognitiveDistillation,fusion_danielgonzagat-CognitiveDistillation_20251001_141406_846815.json,2025-10-01 14:14:06,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ColossalAI,https://github.com/danielgonzagat/ColossalAI,fusion_danielgonzagat-ColossalAI_20251001_141659_19600.json,2025-10-01 14:16:59,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ComfyUI,https://github.com/danielgonzagat/ComfyUI,fusion_danielgonzagat-ComfyUI_20251001_140628_388427.json,2025-10-01 14:06:28,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ComfyUI_frontend,https://github.com/danielgonzagat/ComfyUI_frontend,fusion_danielgonzagat-ComfyUI_frontend_20251001_140337_217799.json,2025-10-01 14:03:37,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
